"Date","Price","Open","High","Low","Vol.","Change %"
"06/03/2025","205.71","207.10","208.95","205.03","33.14M","-0.45%"
"06/02/2025","206.65","204.98","207.00","202.68","29.11M","0.80%"
"05/30/2025","205.01","204.84","205.99","201.70","51.68M","-0.34%"
"05/29/2025","205.70","208.02","208.81","204.23","34.70M","0.48%"
"05/28/2025","204.72","205.91","207.66","204.41","28.55M","-0.63%"
"05/27/2025","206.02","203.09","206.69","202.19","34.89M","2.50%"
"05/23/2025","200.99","198.90","202.37","197.85","33.39M","-1.04%"
"05/22/2025","203.10","201.38","205.76","200.16","38.94M","0.98%"
"05/21/2025","201.12","201.61","203.46","200.06","42.46M","-1.45%"
"05/20/2025","204.07","204.63","205.59","202.65","29.47M","-1.01%"
"05/19/2025","206.16","201.65","206.62","201.26","34.31M","0.28%"
"05/16/2025","205.59","206.85","206.85","204.37","43.32M","0.20%"
"05/15/2025","205.17","206.45","206.88","202.67","64.35M","-2.42%"
"05/14/2025","210.25","211.45","211.93","208.85","38.49M","-0.53%"
"05/13/2025","211.37","211.08","214.84","210.10","56.19M","1.31%"
"05/12/2025","208.64","210.71","211.66","205.75","75.21M","8.07%"
"05/09/2025","193.06","193.38","194.69","191.16","29.66M","0.51%"
"05/08/2025","192.08","191.43","194.33","188.82","41.04M","1.79%"
"05/07/2025","188.71","185.56","190.99","185.01","44.00M","2.00%"
"05/06/2025","185.01","184.57","187.93","183.85","29.31M","-0.72%"
"05/05/2025","186.35","186.51","188.18","185.53","35.22M","-1.91%"
"05/02/2025","189.98","191.43","192.88","186.40","77.90M","-0.12%"
"05/01/2025","190.20","190.63","191.81","187.50","74.27M","3.13%"
"04/30/2025","184.42","182.17","185.05","178.85","55.18M","-1.58%"
"04/29/2025","187.39","183.99","188.02","183.68","41.67M","-0.17%"
"04/28/2025","187.70","190.10","190.22","184.88","33.22M","-0.68%"
"04/25/2025","188.99","187.62","189.94","185.49","36.41M","1.31%"
"04/24/2025","186.54","180.91","186.74","180.18","43.76M","3.29%"
"04/23/2025","180.60","183.45","187.38","180.19","63.47M","4.28%"
"04/22/2025","173.18","169.85","176.78","169.35","56.61M","3.50%"
"04/21/2025","167.32","169.60","169.60","165.29","48.13M","-3.06%"
"04/17/2025","172.61","176.00","176.21","172.00","44.73M","-0.99%"
"04/16/2025","174.33","176.29","179.10","171.41","51.88M","-2.93%"
"04/15/2025","179.59","181.41","182.35","177.93","43.64M","-1.39%"
"04/14/2025","182.12","186.84","187.44","179.23","48.00M","-1.49%"
"04/11/2025","184.87","179.93","185.86","178.00","50.59M","2.01%"
"04/10/2025","181.22","185.44","186.87","175.85","68.30M","-5.17%"
"04/09/2025","191.10","172.12","192.65","169.93","116.80M","11.98%"
"04/08/2025","170.66","185.23","185.90","168.57","87.71M","-2.62%"
"04/07/2025","175.26","162.00","183.41","161.38","109.33M","2.49%"
"04/04/2025","171.00","167.15","178.14","166.00","123.16M","-4.15%"
"04/03/2025","178.41","182.99","184.13","176.92","95.55M","-8.98%"
"04/02/2025","196.01","187.66","198.34","187.66","53.68M","2.00%"
"04/01/2025","192.17","187.86","193.93","187.20","41.27M","1.00%"
"03/31/2025","190.26","188.19","191.33","184.40","63.55M","-1.28%"
"03/28/2025","192.72","198.42","199.26","191.88","52.55M","-4.29%"
"03/27/2025","201.36","200.89","203.79","199.28","27.32M","0.11%"
"03/26/2025","201.13","205.84","206.01","199.93","32.99M","-2.23%"
"03/25/2025","205.71","203.60","206.21","203.22","31.17M","1.21%"
"03/24/2025","203.26","200.00","203.64","199.95","41.63M","3.59%"
"03/21/2025","196.21","192.90","196.99","192.52","60.06M","0.65%"
"03/20/2025","194.95","193.07","199.32","192.30","38.92M","-0.30%"
"03/19/2025","195.54","193.38","195.96","191.96","39.44M","1.41%"
"03/18/2025","192.82","192.52","194.00","189.38","40.41M","-1.49%"
"03/17/2025","195.74","198.77","199.00","194.32","47.34M","-1.12%"
"03/14/2025","197.95","197.41","198.65","195.32","38.10M","2.09%"
"03/13/2025","193.89","198.16","198.88","191.82","41.27M","-2.51%"
"03/12/2025","198.89","200.72","201.52","195.29","43.68M","1.17%"
"03/11/2025","196.59","193.90","200.18","193.40","54.00M","1.05%"
"03/10/2025","194.54","195.60","196.73","190.85","62.35M","-2.36%"
"03/07/2025","199.25","199.49","202.27","192.53","59.80M","-0.72%"
"03/06/2025","200.70","204.40","205.77","198.30","49.86M","-3.68%"
"03/05/2025","208.36","204.80","209.98","203.26","38.61M","2.24%"
"03/04/2025","203.80","200.11","206.80","197.43","60.85M","-0.60%"
"03/03/2025","205.02","213.35","214.01","202.55","42.95M","-3.42%"
